title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
Back to the Future,1985,"Adventure, Comedy, Sci-Fi",USA,Robert Zemeckis,8.5,87.0,1050.0,233.0
Dead Poets Society,1989,"Comedy, Drama",USA,Peter Weir,8.1,79.0,586.0,103.0
A Christmas Story,1983,"Comedy, Family","USA, Canada",Bob Clark,8.0,77.0,497.0,123.0
Crimes and Misdemeanors,1989,"Comedy, Drama",USA,Woody Allen,7.9,77.0,178.0,101.0
Do the Right Thing,1989,"Comedy, Drama",USA,Spike Lee,7.9,92.0,456.0,90.0
Hannah and Her Sisters,1986,"Comedy, Drama",USA,Woody Allen,7.9,90.0,180.0,79.0
This Is Spinal Tap,1984,"Comedy, Music",USA,Rob Reiner,7.9,92.0,356.0,84.0
The Breakfast Club,1985,"Comedy, Drama",USA,John Hughes,7.9,62.0,831.0,148.0
Ferris Bueller's Day Off,1986,Comedy,USA,John Hughes,7.8,61.0,543.0,145.0
Down by Law,1986,"Comedy, Crime, Drama","USA, West Germany",Jim Jarmusch,7.8,75.0,106.0,78.0
My Dinner with Andre,1981,"Biography, Comedy, Drama",USA,Louis Malle,7.8,83.0,136.0,59.0
Evil Dead II,1987,"Comedy, Horror",USA,Sam Raimi,7.8,69.0,579.0,283.0
The Goonies,1985,"Adventure, Comedy, Family",USA,Richard Donner,7.8,62.0,466.0,108.0
Ghostbusters,1984,"Action, Comedy, Fantasy",USA,Ivan Reitman,7.8,71.0,532.0,250.0
The King of Comedy,1982,"Comedy, Crime, Drama",USA,Martin Scorsese,7.8,73.0,267.0,101.0
Who Framed Roger Rabbit,1988,"Animation, Adventure, Comedy",USA,Robert Zemeckis,7.7,83.0,262.0,131.0
Airplane!,1980,Comedy,USA,"Jim Abrahams, David Zucker",7.7,78.0,459.0,158.0
The Purple Rose of Cairo,1985,"Comedy, Fantasy, Romance",USA,Woody Allen,7.7,75.0,150.0,87.0
After Hours,1985,"Comedy, Crime, Drama",USA,Martin Scorsese,7.7,90.0,207.0,107.0
The Naked Gun: From the Files of Police Squad!,1988,"Comedy, Crime",USA,David Zucker,7.6,76.0,214.0,87.0
"Planes, Trains & Automobiles",1987,Comedy,USA,John Hughes,7.6,72.0,398.0,132.0
Ging chaat goo si,1985,"Action, Comedy, Crime",Hong Kong,"Jackie Chan, Chi-Hwa Chen",7.6,78.0,96.0,90.0
Victor Victoria,1982,"Comedy, Music, Musical","UK, USA",Blake Edwards,7.6,84.0,116.0,38.0
Mystery Train,1989,"Comedy, Crime, Drama","Japan, USA",Jim Jarmusch,7.6,80.0,58.0,73.0
When Harry Met Sally...,1989,"Comedy, Drama, Romance",USA,Rob Reiner,7.6,76.0,306.0,139.0
