title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
The Green Mile,1999,"Crime, Drama, Fantasy",USA,Frank Darabont,8.6,61.0,1571.0,199.0
Mononoke-hime,1997,"Animation, Adventure, Fantasy",Japan,Hayao Miyazaki,8.4,76.0,644.0,195.0
Beauty and the Beast,1991,"Animation, Family, Fantasy",USA,"Gary Trousdale, Kirk Wise",8.0,95.0,415.0,209.0
Groundhog Day,1993,"Comedy, Fantasy, Romance",USA,Harold Ramis,8.0,72.0,722.0,181.0
The Nightmare Before Christmas,1993,"Animation, Family, Fantasy",USA,Henry Selick,8.0,82.0,496.0,232.0
Edward Scissorhands,1990,"Drama, Fantasy, Romance",USA,Tim Burton,7.9,74.0,633.0,98.0
La double vie de Véronique,1991,"Drama, Fantasy, Music","France, Poland, Norway",Krzysztof Kieslowski,7.8,86.0,118.0,85.0
A Little Princess,1995,"Drama, Family, Fantasy",USA,Alfonso Cuarón,7.7,83.0,125.0,30.0
Being John Malkovich,1999,"Comedy, Drama, Fantasy",USA,Spike Jonze,7.7,90.0,862.0,258.0
"South Park: Bigger, Longer & Uncut",1999,"Animation, Comedy, Fantasy",USA,Trey Parker,7.7,73.0,948.0,163.0
The Crow,1994,"Action, Drama, Fantasy",USA,Alex Proyas,7.6,71.0,585.0,143.0
La cité des enfants perdus,1995,"Fantasy, Sci-Fi","France, Germany, Spain, Belgium, USA","Marc Caro, Jean-Pierre Jeunet",7.6,73.0,244.0,47.0
Dead Man,1995,"Drama, Fantasy, Western","USA, Germany, Japan",Jim Jarmusch,7.6,62.0,334.0,117.0
