title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
The Dark Knight,2008,"Action, Crime, Drama","USA, UK",Christopher Nolan,9.0,84.0,6344.0,418.0
Gladiator,2000,"Action, Adventure, Drama","USA, UK, Malta, Morocco",Ridley Scott,8.5,67.0,2538.0,249.0
Black Friday,2004,"Action, Crime, Drama",India,Anurag Kashyap,8.5,76.0,59.0,13.0
Oldeuboi,2003,"Action, Drama, Mystery",South Korea,Chan-wook Park,8.4,77.0,924.0,327.0
Batman Begins,2005,"Action, Adventure","USA, UK",Christopher Nolan,8.2,70.0,2810.0,310.0
V for Vendetta,2005,"Action, Drama, Sci-Fi","USA, UK, Germany",James McTeigue,8.2,62.0,2148.0,241.0
Salinui chueok,2003,"Action, Crime, Drama",South Korea,Bong Joon Ho,8.1,82.0,187.0,164.0
Taegukgi hwinalrimyeo,2004,"Action, Drama, War",South Korea,Je-kyu Kang,8.1,64.0,235.0,83.0
Ai no mukidashi,2008,"Action, Comedy, Drama",Japan,Sion Sono,8.1,78.0,54.0,117.0
Kill Bill: Vol. 1,2003,"Action, Crime, Thriller","USA, Japan",Quentin Tarantino,8.1,69.0,2207.0,380.0
The Incredibles,2004,"Animation, Action, Adventure",USA,Brad Bird,8.0,90.0,913.0,295.0
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Action, Adventure, Fantasy",USA,Gore Verbinski,8.0,63.0,2146.0,286.0
Casino Royale,2006,"Action, Adventure, Thriller","UK, Czech Republic, USA, Germany, Bahamas",Martin Campbell,8.0,80.0,2345.0,340.0
The Bourne Ultimatum,2007,"Action, Mystery, Thriller","USA, Germany, France, Spain",Paul Greengrass,8.0,85.0,858.0,334.0
Kill Bill: Vol. 2,2004,"Action, Crime, Thriller",USA,Quentin Tarantino,8.0,83.0,979.0,317.0
Letters from Iwo Jima,2006,"Action, Adventure, Drama",USA,Clint Eastwood,7.9,89.0,345.0,255.0
Star Trek,2009,"Action, Adventure, Sci-Fi","USA, Germany",J.J. Abrams,7.9,82.0,1620.0,539.0
District 9,2009,"Action, Sci-Fi, Thriller","South Africa, USA, New Zealand, Canada",Neill Blomkamp,7.9,81.0,1337.0,479.0
Chugyeogja,2008,"Action, Crime, Thriller",South Korea,Hong-jin Na,7.9,64.0,128.0,132.0
Cowboy Bebop: Tengoku no tobira,2001,"Animation, Action, Crime","Japan, USA","Shin'ichirô Watanabe, Tensai Okamura",7.9,61.0,131.0,68.0
Iron Man,2008,"Action, Adventure, Sci-Fi",USA,Jon Favreau,7.9,79.0,1250.0,526.0
Ying xiong,2002,"Action, Adventure, History","China, Hong Kong",Yimou Zhang,7.9,85.0,855.0,146.0
The Bourne Identity,2002,"Action, Mystery, Thriller","USA, Germany, Czech Republic",Doug Liman,7.9,68.0,884.0,248.0
Serenity,2005,"Action, Adventure, Sci-Fi",USA,Joss Whedon,7.8,74.0,1645.0,265.0
Wo hu cang long,2000,"Action, Adventure, Fantasy","Taiwan, Hong Kong, USA, China",Ang Lee,7.8,93.0,1655.0,304.0
The Count of Monte Cristo,2002,"Action, Adventure, Drama","UK, USA, Ireland, Switzerland",Kevin Reynolds,7.8,61.0,579.0,136.0
Avatar,2009,"Action, Adventure, Fantasy",USA,James Cameron,7.8,83.0,3304.0,727.0
Hot Fuzz,2007,"Action, Comedy, Mystery","UK, France",Edgar Wright,7.8,81.0,779.0,297.0
Apocalypto,2006,"Action, Adventure, Drama",USA,Mel Gibson,7.8,68.0,1114.0,287.0
Vampire Hunter D: Bloodlust,2000,"Animation, Action, Fantasy","Japan, USA",Yoshiaki Kawajiri,7.7,62.0,105.0,61.0
3:10 to Yuma,2007,"Action, Crime, Drama",USA,James Mangold,7.7,76.0,615.0,294.0
The Bourne Supremacy,2004,"Action, Mystery, Thriller","USA, Germany",Paul Greengrass,7.7,73.0,830.0,244.0
Kung fu,2004,"Action, Comedy, Fantasy","Hong Kong, China",Stephen Chow,7.7,78.0,387.0,377.0
Minority Report,2002,"Action, Crime, Mystery",USA,Steven Spielberg,7.6,80.0,1352.0,268.0
Huo Yuan Jia,2006,"Action, Biography, Drama","China, Hong Kong",Ronny Yu,7.6,70.0,209.0,150.0
Harry Potter and the Half-Blood Prince,2009,"Action, Adventure, Family","UK, USA",David Yates,7.6,78.0,1022.0,394.0
Eastern Promises,2007,"Action, Crime, Drama","UK, Canada, USA",David Cronenberg,7.6,82.0,425.0,281.0
Tekkon kinkurîto,2006,"Animation, Action, Adventure",Japan,Michael Arias,7.6,65.0,32.0,55.0
Lord of War,2005,"Action, Crime, Drama","USA, Germany, France",Andrew Niccol,7.6,62.0,468.0,164.0
Jodhaa Akbar,2008,"Action, Drama, History",India,Ashutosh Gowariker,7.6,69.0,126.0,38.0
