title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
Sen to Chihiro no kamikakushi,2001,"Animation, Adventure, Family",Japan,Hayao Miyazaki,8.6,96.0,1092.0,275.0
WALL·E,2008,"Animation, Adventure, Family",USA,Andrew Stanton,8.4,95.0,1177.0,264.0
Hauru no ugoku shiro,2004,"Animation, Adventure, Family",Japan,Hayao Miyazaki,8.2,80.0,382.0,236.0
Up,2009,"Animation, Adventure, Comedy",USA,"Pete Docter, Bob Peterson",8.2,88.0,810.0,421.0
Finding Nemo,2003,"Animation, Adventure, Comedy","USA, Australia","Andrew Stanton, Lee Unkrich",8.1,90.0,926.0,302.0
Persepolis,2007,"Animation, Biography, Drama","France, USA","Vincent Paronnaud, Marjane Satrapi",8.0,90.0,171.0,253.0
The Incredibles,2004,"Animation, Action, Adventure",USA,Brad Bird,8.0,90.0,913.0,295.0
"Monsters, Inc.",2001,"Animation, Adventure, Comedy",USA,"Pete Docter, David Silverman",8.0,78.0,631.0,260.0
Ratatouille,2007,"Animation, Adventure, Comedy",USA,"Brad Bird, Jan Pinkava",8.0,96.0,693.0,332.0
Cowboy Bebop: Tengoku no tobira,2001,"Animation, Action, Crime","Japan, USA","Shin'ichirô Watanabe, Tensai Okamura",7.9,61.0,131.0,68.0
Sennen joyû,2001,"Animation, Drama, Fantasy",Japan,Satoshi Kon,7.9,70.0,66.0,67.0
Waking Life,2001,"Animation, Drama, Fantasy",USA,Richard Linklater,7.8,82.0,513.0,141.0
Fantastic Mr. Fox,2009,"Animation, Adventure, Comedy","USA, UK",Wes Anderson,7.8,83.0,296.0,350.0
Tôkyô goddofâzâzu,2003,"Animation, Adventure, Comedy",Japan,"Satoshi Kon, Shôgo Furuya",7.8,73.0,61.0,89.0
Les triplettes de Belleville,2003,"Animation, Comedy, Drama","France, Belgium, Canada, UK, Latvia, USA",Sylvain Chomet,7.8,91.0,308.0,175.0
Shrek,2001,"Animation, Adventure, Comedy",USA,"Andrew Adamson, Vicky Jenson",7.8,84.0,1025.0,222.0
Coraline,2009,"Animation, Drama, Fantasy",USA,Henry Selick,7.7,80.0,352.0,332.0
The Secret of Kells,2009,"Animation, Adventure, Family","France, Belgium, Ireland, Netherlands, USA, Denmark, Brazil, Germany, Austria, Hungary","Tomm Moore, Nora Twomey",7.7,81.0,85.0,128.0
Papurika,2006,"Animation, Drama, Fantasy",Japan,Satoshi Kon,7.7,81.0,119.0,160.0
Gake no ue no Ponyo,2008,"Animation, Adventure, Comedy",Japan,Hayao Miyazaki,7.7,86.0,172.0,267.0
Vampire Hunter D: Bloodlust,2000,"Animation, Action, Fantasy","Japan, USA",Yoshiaki Kawajiri,7.7,62.0,105.0,61.0
Tekkon kinkurîto,2006,"Animation, Action, Adventure",Japan,Michael Arias,7.6,65.0,32.0,55.0
