title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
The Dark Knight,2008,"Action, Crime, Drama","USA, UK",Christopher Nolan,9.0,84.0,6344.0,418.0
Cidade de Deus,2002,"Crime, Drama","Brazil, France, Germany","Fernando Meirelles, Kátia Lund",8.6,79.0,942.0,223.0
The Departed,2006,"Crime, Drama, Thriller",USA,Martin Scorsese,8.5,85.0,2210.0,357.0
Black Friday,2004,"Action, Crime, Drama",India,Anurag Kashyap,8.5,76.0,59.0,13.0
No Country for Old Men,2007,"Crime, Drama, Thriller",USA,"Ethan Coen, Joel Coen",8.1,91.0,1736.0,528.0
Salinui chueok,2003,"Action, Crime, Drama",South Korea,Bong Joon Ho,8.1,82.0,187.0,164.0
Catch Me If You Can,2002,"Biography, Crime, Drama","USA, Canada",Steven Spielberg,8.1,75.0,759.0,202.0
Kill Bill: Vol. 1,2003,"Action, Crime, Thriller","USA, Japan",Quentin Tarantino,8.1,69.0,2207.0,380.0
Mou gaan dou,2002,"Crime, Drama, Mystery",Hong Kong,"Andrew Lau, Alan Mak",8.1,75.0,204.0,176.0
Bin-jip,2004,"Crime, Drama, Romance","South Korea, Japan",Ki-duk Kim,8.0,72.0,128.0,177.0
Dancer in the Dark,2000,"Crime, Drama, Musical","Denmark, Germany, Netherlands, Italy, USA, UK, France, Sweden, Finland, Iceland, Argentina, Norway, Taiwan, Belgium",Lars von Trier,8.0,61.0,704.0,130.0
Sin City,2005,"Crime, Thriller",USA,"Frank Miller, Robert Rodriguez",8.0,74.0,1761.0,380.0
Kill Bill: Vol. 2,2004,"Action, Crime, Thriller",USA,Quentin Tarantino,8.0,83.0,979.0,317.0
Mystic River,2003,"Crime, Drama, Mystery","USA, Australia",Clint Eastwood,7.9,84.0,999.0,231.0
Un prophète,2009,"Crime, Drama","France, Italy",Jacques Audiard,7.9,90.0,163.0,262.0
In Bruges,2008,"Comedy, Crime, Drama","UK, USA",Martin McDonagh,7.9,67.0,608.0,319.0
Cowboy Bebop: Tengoku no tobira,2001,"Animation, Action, Crime","Japan, USA","Shin'ichirô Watanabe, Tensai Okamura",7.9,61.0,131.0,68.0
Nueve reinas,2000,"Crime, Drama, Thriller",Argentina,Fabián Bielinsky,7.9,80.0,128.0,99.0
Chugyeogja,2008,"Action, Crime, Thriller",South Korea,Hong-jin Na,7.9,64.0,128.0,132.0
Lilja 4-ever,2002,"Crime, Drama","Sweden, Denmark",Lukas Moodysson,7.8,82.0,214.0,115.0
Crash,2004,"Crime, Drama, Thriller","USA, Germany",Paul Haggis,7.8,69.0,1646.0,290.0
Ocean's Eleven,2001,"Crime, Thriller",USA,Steven Soderbergh,7.8,74.0,907.0,206.0
Män som hatar kvinnor,2009,"Crime, Drama, Mystery","Sweden, Denmark, Germany, Norway",Niels Arden Oplev,7.8,76.0,307.0,336.0
Madeo,2009,"Crime, Drama, Thriller",South Korea,Bong Joon Ho,7.8,79.0,112.0,210.0
American Gangster,2007,"Biography, Crime, Drama","USA, UK",Ridley Scott,7.8,76.0,491.0,314.0
12,2007,"Crime, Drama, Thriller",Russia,Nikita Mikhalkov,7.7,72.0,37.0,69.0
Changeling,2008,"Biography, Crime, Drama",USA,Clint Eastwood,7.7,63.0,417.0,272.0
This Is England,2006,"Crime, Drama",UK,Shane Meadows,7.7,86.0,204.0,172.0
Zodiac,2007,"Crime, Drama, Mystery",USA,David Fincher,7.7,78.0,698.0,403.0
Training Day,2001,"Crime, Drama, Thriller",USA,Antoine Fuqua,7.7,69.0,682.0,121.0
21 Grams,2003,"Crime, Drama, Thriller",USA,Alejandro G. Iñárritu,7.7,70.0,569.0,200.0
"O Brother, Where Art Thou?",2000,"Adventure, Comedy, Crime","UK, France, USA","Joel Coen, Ethan Coen",7.7,69.0,892.0,98.0
3:10 to Yuma,2007,"Action, Crime, Drama",USA,James Mangold,7.7,76.0,615.0,294.0
Kontroll,2003,"Comedy, Crime, Drama",Hungary,Nimród Antal,7.7,72.0,144.0,126.0
Road to Perdition,2002,"Crime, Drama, Thriller",USA,Sam Mendes,7.7,72.0,1029.0,214.0
Carandiru,2003,"Drama, Crime","Brazil, Argentina, Italy",Hector Babenco,7.6,71.0,45.0,64.0
Minority Report,2002,"Action, Crime, Mystery",USA,Steven Spielberg,7.6,80.0,1352.0,268.0
Traffic,2000,"Crime, Drama, Thriller","USA, Mexico, Germany",Steven Soderbergh,7.6,86.0,893.0,227.0
Sin nombre,2009,"Adventure, Crime, Drama","Mexico, USA",Cary Joji Fukunaga,7.6,77.0,87.0,160.0
Die Fälscher,2007,"Crime, Drama, War","Austria, Germany",Stefan Ruzowitzky,7.6,78.0,119.0,166.0
Sophie Scholl - Die letzten Tage,2005,"Biography, Crime, Drama",Germany,Marc Rothemund,7.6,76.0,105.0,133.0
Eastern Promises,2007,"Action, Crime, Drama","UK, Canada, USA",David Cronenberg,7.6,82.0,425.0,281.0
Lord of War,2005,"Action, Crime, Drama","USA, Germany, France",Andrew Niccol,7.6,62.0,468.0,164.0
Les invasions barbares,2003,"Comedy, Crime, Drama","Canada, France",Denys Arcand,7.6,70.0,168.0,131.0
American Psycho,2000,"Crime, Drama","USA, Canada",Mary Harron,7.6,64.0,1208.0,297.0
Inside Man,2006,"Crime, Drama, Mystery",USA,Spike Lee,7.6,76.0,696.0,230.0
Gone Baby Gone,2007,"Crime, Drama, Mystery",USA,Ben Affleck,7.6,72.0,544.0,262.0
Chinjeolhan geumjassi,2005,"Crime, Drama, Thriller",South Korea,Chan-wook Park,7.6,75.0,144.0,211.0
Vera Drake,2004,"Crime, Drama","UK, France",Mike Leigh,7.6,83.0,170.0,171.0
