title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
Sen to Chihiro no kamikakushi,2001,"Animation, Adventure, Family",Japan,Hayao Miyazaki,8.6,96.0,1092.0,275.0
WALL·E,2008,"Animation, Adventure, Family",USA,Andrew Stanton,8.4,95.0,1177.0,264.0
Hauru no ugoku shiro,2004,"Animation, Adventure, Family",Japan,Hayao Miyazaki,8.2,80.0,382.0,236.0
Chak De! India,2007,"Drama, Family, Sport",India,Shimit Amin,8.2,68.0,107.0,69.0
Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Family, Fantasy","UK, USA",Alfonso Cuarón,7.9,82.0,1550.0,292.0
Veer-Zaara,2004,"Drama, Family, Musical",India,Yash Chopra,7.8,67.0,137.0,30.0
Finding Neverland,2004,"Biography, Drama, Family","USA, UK",Marc Forster,7.7,67.0,649.0,232.0
Harry Potter and the Goblet of Fire,2005,"Adventure, Family, Fantasy","UK, USA",Mike Newell,7.7,81.0,1933.0,311.0
The Secret of Kells,2009,"Animation, Adventure, Family","France, Belgium, Ireland, Netherlands, USA, Denmark, Brazil, Germany, Austria, Hungary","Tomm Moore, Nora Twomey",7.7,81.0,85.0,128.0
Harry Potter and the Sorcerer's Stone,2001,"Adventure, Family, Fantasy","UK, USA",Chris Columbus,7.6,64.0,1654.0,264.0
Harry Potter and the Half-Blood Prince,2009,"Action, Adventure, Family","UK, USA",David Yates,7.6,78.0,1022.0,394.0
Stardust,2007,"Adventure, Family, Fantasy","UK, USA",Matthew Vaughn,7.6,66.0,538.0,240.0
