title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
Der Untergang,2004,"Biography, Drama, History","Germany, Austria, Italy",Oliver Hirschbiegel,8.2,82.0,614.0,206.0
Tasogare Seibei,2002,"Drama, History, Romance",Japan,Yôji Yamada,8.1,82.0,105.0,93.0
Hotel Rwanda,2004,"Biography, Drama, History","UK, South Africa, Italy",Terry George,8.1,79.0,655.0,152.0
Cinderella Man,2005,"Biography, Drama, History",USA,Ron Howard,8.0,69.0,582.0,209.0
Ying xiong,2002,"Action, Adventure, History","China, Hong Kong",Yimou Zhang,7.9,85.0,855.0,146.0
Das weiße Band - Eine deutsche Kindergeschichte,2009,"Drama, History, Mystery","Germany, Austria, France, Italy, Canada",Michael Haneke,7.8,82.0,208.0,281.0
Black Hawk Down,2001,"Drama, History, War","USA, UK",Ridley Scott,7.7,74.0,1134.0,216.0
Machuca,2004,"Biography, Drama, History","Chile, Spain, UK, France",Andrés Wood,7.7,76.0,45.0,55.0
Shooting Dogs,2005,"Drama, History, War","UK, Germany",Michael Caton-Jones,7.7,71.0,49.0,74.0
Joyeux Noël,2005,"Drama, History, Music","France, Germany, UK, Belgium, Romania, Norway, Japan, USA",Christian Carion,7.7,70.0,151.0,122.0
The Last King of Scotland,2006,"Biography, Drama, History","UK, Germany",Kevin Macdonald,7.7,74.0,366.0,249.0
Frost/Nixon,2008,"Biography, Drama, History","UK, France, USA",Ron Howard,7.7,80.0,259.0,303.0
Bloody Sunday,2002,"Drama, History, War","UK, Ireland",Paul Greengrass,7.6,90.0,129.0,99.0
The Illusionist,2006,"Drama, Fantasy, History","USA, Czech Republic",Neil Burger,7.6,68.0,674.0,241.0
Jodhaa Akbar,2008,"Action, Drama, History",India,Ashutosh Gowariker,7.6,69.0,126.0,38.0
