title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
The Pianist,2002,"Biography, Drama, Music","UK, France, Poland, Germany",Roman Polanski,8.5,85.0,838.0,190.0
Lagaan: Once Upon a Time in India,2001,"Adventure, Drama, Musical",India,Ashutosh Gowariker,8.1,84.0,266.0,73.0
Okuribito,2008,"Drama, Music",Japan,Yôjirô Takita,8.1,68.0,140.0,174.0
Dancer in the Dark,2000,"Crime, Drama, Musical","Denmark, Germany, Netherlands, Italy, USA, UK, France, Sweden, Finland, Iceland, Argentina, Norway, Taiwan, Belgium",Lars von Trier,8.0,61.0,704.0,130.0
Walk the Line,2005,"Biography, Drama, Music","USA, Germany",James Mangold,7.8,72.0,886.0,277.0
Veer-Zaara,2004,"Drama, Family, Musical",India,Yash Chopra,7.8,67.0,137.0,30.0
Once,2007,"Drama, Music, Romance",Ireland,John Carney,7.8,88.0,350.0,241.0
Hedwig and the Angry Inch,2001,"Comedy, Drama, Music",USA,John Cameron Mitchell,7.7,85.0,235.0,115.0
Billy Elliot,2000,"Drama, Music","UK, France",Stephen Daldry,7.7,74.0,453.0,155.0
Ray,2004,"Biography, Drama, Music",USA,Taylor Hackford,7.7,73.0,446.0,196.0
Control,2007,"Biography, Drama, Music","UK, USA, Australia, Japan, France",Anton Corbijn,7.7,78.0,154.0,187.0
Joyeux Noël,2005,"Drama, History, Music","France, Germany, UK, Belgium, Romania, Norway, Japan, USA",Christian Carion,7.7,70.0,151.0,122.0
Moulin Rouge!,2001,"Drama, Musical, Romance","Australia, USA",Baz Luhrmann,7.6,66.0,2322.0,193.0
La môme,2007,"Biography, Drama, Music","France, UK, Czech Republic",Olivier Dahan,7.6,66.0,235.0,216.0
