title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
The Prestige,2006,"Drama, Mystery, Sci-Fi","USA, UK",Christopher Nolan,8.5,66.0,1285.0,368.0
Oldeuboi,2003,"Action, Drama, Mystery",South Korea,Chan-wook Park,8.4,77.0,924.0,327.0
Memento,2000,"Mystery, Thriller",USA,Christopher Nolan,8.4,80.0,2166.0,203.0
El secreto de sus ojos,2009,"Drama, Mystery, Romance","Argentina, Spain",Juan José Campanella,8.2,80.0,275.0,273.0
Werckmeister harmóniák,2000,"Drama, Mystery","Hungary, Italy, Germany, France","Béla Tarr, Ágnes Hranitzky",8.2,92.0,58.0,60.0
Mou gaan dou,2002,"Crime, Drama, Mystery",Hong Kong,"Andrew Lau, Alan Mak",8.1,75.0,204.0,176.0
Darbareye Elly,2009,"Drama, Mystery, Thriller","Iran, France",Asghar Farhadi,8.0,87.0,70.0,147.0
The Bourne Ultimatum,2007,"Action, Mystery, Thriller","USA, Germany, France, Spain",Paul Greengrass,8.0,85.0,858.0,334.0
Moon,2009,"Drama, Mystery, Sci-Fi","UK, USA",Duncan Jones,7.9,67.0,580.0,438.0
Mulholland Dr.,2001,"Drama, Mystery, Thriller","France, USA",David Lynch,7.9,83.0,1871.0,309.0
Mystic River,2003,"Crime, Drama, Mystery","USA, Australia",Clint Eastwood,7.9,84.0,999.0,231.0
Hable con ella,2002,"Drama, Mystery, Romance",Spain,Pedro Almodóvar,7.9,86.0,265.0,86.0
The Bourne Identity,2002,"Action, Mystery, Thriller","USA, Germany, Czech Republic",Doug Liman,7.9,68.0,884.0,248.0
Atonement,2007,"Drama, Mystery, Romance","UK, France, USA",Joe Wright,7.8,85.0,630.0,327.0
Män som hatar kvinnor,2009,"Crime, Drama, Mystery","Sweden, Denmark, Germany, Norway",Niels Arden Oplev,7.8,76.0,307.0,336.0
Das weiße Band - Eine deutsche Kindergeschichte,2009,"Drama, History, Mystery","Germany, Austria, France, Italy, Canada",Michael Haneke,7.8,82.0,208.0,281.0
Hot Fuzz,2007,"Action, Comedy, Mystery","UK, France",Edgar Wright,7.8,81.0,779.0,297.0
The Bourne Supremacy,2004,"Action, Mystery, Thriller","USA, Germany",Paul Greengrass,7.7,73.0,830.0,244.0
Zodiac,2007,"Crime, Drama, Mystery",USA,David Fincher,7.7,78.0,698.0,403.0
Un long dimanche de fiançailles,2004,"Drama, Mystery, Romance","France, USA",Jean-Pierre Jeunet,7.6,76.0,242.0,189.0
Minority Report,2002,"Action, Crime, Mystery",USA,Steven Spielberg,7.6,80.0,1352.0,268.0
Gone Baby Gone,2007,"Crime, Drama, Mystery",USA,Ben Affleck,7.6,72.0,544.0,262.0
Inside Man,2006,"Crime, Drama, Mystery",USA,Spike Lee,7.6,76.0,696.0,230.0
The Others,2001,"Horror, Mystery, Thriller","Spain, USA, France, Italy",Alejandro Amenábar,7.6,74.0,1129.0,253.0
