title,year,genre,country,director,avg_vote,metascore,reviews_from_users,reviews_from_critics
Inglourious Basterds,2009,"Adventure, Drama, War","Germany, USA",Quentin Tarantino,8.3,69.0,1729.0,521.0
Pan's Labyrinth,2006,"Drama, Fantasy, War","Mexico, Spain",Guillermo del Toro,8.2,98.0,1225.0,446.0
Taegukgi hwinalrimyeo,2004,"Action, Drama, War",South Korea,Je-kyu Kang,8.1,64.0,235.0,83.0
Lakposhtha parvaz mikonand,2004,"Drama, War","Iran, France, Iraq",Bahman Ghobadi,8.1,85.0,106.0,119.0
No Man's Land,2001,"Drama, War","France, Bosnia and Herzegovina, Italy, Belgium, UK, Slovenia",Danis Tanovic,7.9,84.0,179.0,106.0
Black Hawk Down,2001,"Drama, History, War","USA, UK",Ridley Scott,7.7,74.0,1134.0,216.0
Zwartboek,2006,"Drama, Thriller, War","Netherlands, Germany, UK, Belgium",Paul Verhoeven,7.7,71.0,244.0,236.0
Shooting Dogs,2005,"Drama, History, War","UK, Germany",Michael Caton-Jones,7.7,71.0,49.0,74.0
Bloody Sunday,2002,"Drama, History, War","UK, Ireland",Paul Greengrass,7.6,90.0,129.0,99.0
Die Fälscher,2007,"Crime, Drama, War","Austria, Germany",Stefan Ruzowitzky,7.6,78.0,119.0,166.0
The Hurt Locker,2008,"Drama, Thriller, War",USA,Kathryn Bigelow,7.6,95.0,939.0,397.0
